City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Tiarei,PF,-17.5333,-149.3333,87.82,76,19,14.0,light rain
172,Singaraja,ID,-8.112,115.0882,83.05,77,91,2.19,overcast clouds
173,Hirara,JP,24.8,125.2833,79.07,83,75,20.71,broken clouds
174,Kamina,CD,-8.7386,24.9906,61.2,99,100,3.0,overcast clouds
175,Eureka,US,40.8021,-124.1637,52.41,89,100,1.01,overcast clouds
176,Clyde River,CA,70.4692,-68.5914,-9.17,70,0,4.61,clear sky
177,Praya,CV,14.9215,-23.5087,70.34,73,20,12.66,few clouds
178,Klaksvik,FO,62.2266,-6.589,43.72,98,100,12.71,light rain
179,Coquimbo,CL,-29.9533,-71.3436,64.13,88,100,2.3,overcast clouds
180,Matamoros,MX,25.5333,-103.25,78.91,21,40,5.75,scattered clouds
181,Port Lincoln,AU,-34.7333,135.8667,68.81,67,32,11.36,scattered clouds
182,Lebu,CL,-37.6167,-73.65,53.71,89,6,13.96,clear sky
183,Tura,IN,25.5198,90.2201,65.37,87,55,3.53,broken clouds
184,Warman,CA,52.3168,-106.5679,15.71,78,100,6.91,overcast clouds
185,Saint-Philippe,RE,-21.3585,55.7679,74.79,87,66,8.01,light rain
186,Avarua,CK,-21.2078,-159.775,84.25,79,75,4.61,broken clouds
187,Katobu,ID,-4.9408,122.5276,85.5,69,100,2.71,overcast clouds
188,Chokurdakh,RU,70.6333,147.9167,-11.94,94,100,19.42,overcast clouds
189,San Ramon,US,37.7799,-121.978,48.15,90,100,19.57,moderate rain
190,Nueve De Julio,AR,-35.4444,-60.8831,59.0,86,46,5.88,scattered clouds
191,Upernavik,GL,72.7868,-56.1549,-18.35,99,66,5.66,broken clouds
192,Nanlong,CN,31.3533,106.0631,55.94,70,100,11.97,overcast clouds
193,Songkhla,TH,6.8333,100.6667,86.05,54,100,0.29,overcast clouds
194,Nouadhibou,MR,20.931,-17.0347,64.38,88,75,10.36,broken clouds
